"","labels","EH_ID","dpi","OPG","weightloss","Genome_copies_gFaeces","Variable"
"1","E57aKRW","LM0204","4",11428.5714285714,3.32294911734164,327164228.369857,"E64_Prim"
"2","E57aKOT","LM0204","7",748251.748251748,-4.82866043613707,86577015.2858477,"E64_Prim"
"3","E57aILQ","LM0204","1",0,0.934579439252353,0,"E64_Prim"
"4","E57aAEF","LM0204","2",0,-0.51921079958462,0,"E64_Prim"
"5","E57aCIO","LM0204","0",0,0,0,"E64_Prim"
"6","E57aAKU","LM0204","6",2540000,-3.42679127725857,329496371.010947,"E64_Prim"
"7","E57aMTU","LM0204","10",0,-4.98442367601245,NA,"E64_Prim"
"8","E57aJMO","LM0204","8",9943.18181818182,-6.02284527518172,4776933.81865417,"E64_Prim"
"9","E57aFWY","LM0204","9",0,-6.69781931464174,387396.59882736,"E64_Prim"
"10","E57aHLV","LM0204","3",0,-3.79023883696779,3619113.75172049,"E64_Prim"
"11","E57aHLP","LM0204","5",47468.3544303797,2.75181723779855,955805467.318025,"E64_Prim"
"12","E57aBEM","LM0206","6",3656015.03759398,4.00707130229817,1021354848.64774,"E64_Prim"
"13","E57aERU","LM0206","1",0,-2.47495580436065,0,"E64_Prim"
"14","E57aLOW","LM0206","3",0,-2.53388332351208,174069.064262978,"E64_Prim"
"15","E57aMWZ","LM0206","8",7407.40740740741,4.36063641720683,3142686.27775202,"E64_Prim"
"16","E57aDHK","LM0206","9",0,1.29640542133176,1318161.27893319,"E64_Prim"
"17","E57aKOX","LM0206","0",0,0,0,"E64_Prim"
"18","E57aFJL","LM0206","10",0,4.41956393635828,NA,"E64_Prim"
"19","E57aBUV","LM0206","5",0,10.0176782557454,1121474489.25734,"E64_Prim"
"20","E57aAIS","LM0206","4",0,6.54095462581025,300867915.722208,"E64_Prim"
"21","E57aFIW","LM0206","2",0,4.47849145550971,0,"E64_Prim"
"22","E57aBPU","LM0206","7",419444.444444444,0.47142015321154,63662009.5445011,"E64_Prim"
"23","E57aBNW","LM0207","8",337349.397590361,0.405327156919515,16986417.432979,"E64_Prim"
"24","E57aKTU","LM0207","6",2231132.0754717,9.55414012738854,2986072241.63968,"E64_Prim"
"25","E57aFOX","LM0207","2",0,3.18471337579618,0,"E64_Prim"
"26","E57aADP","LM0207","9",148026.315789474,-0.694846554719172,51584261.3375172,"E64_Prim"
"27","E57aBHT","LM0207","5",480000,7.35379270411117,1827394510.68324,"E64_Prim"
"28","E57aANQ","LM0207","3",0,0.115807759119859,2490004.11860691,"E64_Prim"
"29","E57aCPY","LM0207","0",0,0,NA,"E64_Prim"
"30","E57aEHM","LM0207","10",0,-1.96873190503764,NA,"E64_Prim"
"31","E57aBEP","LM0207","7",1326923.07692308,3.2426172553561,1742592167.8394,"E64_Prim"
"32","E57aJKO","LM0207","4",0,2.77938621887667,256446529.599485,"E64_Prim"
"33","E57aFNU","LM0207","1",0,-3.06890561667632,0,"E64_Prim"
"34","E57aLOU","LM0208","9",150000,-1.840490797546,9603874.0372593,"E64_Prim"
"35","E57aPSV","LM0208","5",98958.3333333333,3.33041191936898,855239672.008579,"E64_Prim"
"36","E57aFHX","LM0208","7",1118902.43902439,0.701139351446101,1393522567.84658,"E64_Prim"
"37","E57aMTZ","LM0208","10",0,-0.219106047326909,403982.882370251,"E64_Prim"
"38","E57aFHR","LM0208","8",88483.1460674157,-2.71691498685364,193443150.480617,"E64_Prim"
"39","E57aAFV","LM0208","4",0,0.350569675723058,949780459.743238,"E64_Prim"
"40","E57aDIT","LM0208","1",0,-1.44609991235757,0,"E64_Prim"
"41","E57aIOV","LM0208","2",0,-2.49780893952673,0,"E64_Prim"
"42","E57aGQU","LM0208","0",0,0,0,"E64_Prim"
"43","E57aDPV","LM0208","6",856617.647058823,4.33829973707275,2055494440.42278,"E64_Prim"
"44","E57aLOX","LM0208","3",0,-5.8282208588957,325170.912401009,"E64_Prim"
"45","E57aASY","LM0209","10",0,-2.08239022181983,707960.543212322,"E64_Prim"
"46","E57aHPQ","LM0209","0",0,0,0,"E64_Prim"
"47","E57aLMY","LM0209","8",13888.8888888889,-3.84789497510186,925211.312034292,"E64_Prim"
"48","E57aAFO","LM0209","5",51801.8018018018,8.01267541874151,730979242.926427,"E64_Prim"
"49","E57aGNX","LM0209","4",0,2.48981439565415,1047592856.33188,"E64_Prim"
"50","E57aHIM","LM0209","3",0,-0.588501584427338,191408.672330704,"E64_Prim"
"51","E57aIUY","LM0209","2",0,-2.26346763241286,0,"E64_Prim"
"52","E57aDHQ","LM0209","6",610507.246376812,1.72023540063377,157985067.318411,"E64_Prim"
"53","E57aGKL","LM0209","9",0,-4.61747397012223,1607715.28328537,"E64_Prim"
"54","E57aFOZ","LM0209","1",0,0.588501584427338,41341.8271889761,"E64_Prim"
"55","E57aNOQ","LM0209","7",156976.744186047,-2.17292892711634,79739769.476393,"E64_Prim"
"56","E57aEKY","LM0210","10",0,-13.9936102236422,322114.350172622,"E64_Prim"
"57","E57aALT","LM0210","9",0,-11.6932907348243,2455640.78741341,"E64_Prim"
"58","E57aBOU","LM0210","0",0,0,0,"E64_Prim"
"59","E57aHQY","LM0210","2",0,0.766773162939304,152372.715278333,"E64_Prim"
"60","E57aFGI","LM0210","4",0,-2.68370607028754,47383821.2906327,"E64_Prim"
"61","E57aGRU","LM0210","5",195312.5,-1.85303514376996,504726587.442581,"E64_Prim"
"62","E57aCWX","LM0210","6",431318.681318681,-3.19488817891373,584187304.986487,"E64_Prim"
"63","E57aLPX","LM0210","8",106132.075471698,-7.98722044728433,139909331.992377,"E64_Prim"
"64","E57aDRW","LM0210","7",719565.217391304,-7.66773162939298,129401816.289892,"E64_Prim"
"65","E57aBTY","LM0210","1",0,-1.91693290734824,79902.5172875954,"E64_Prim"
"66","E57aBKM","LM0210","3",0,-2.7476038338658,313139.976833472,"E64_Prim"
"67","E57aIOQ","LM0211","7",2132267.44186047,13.6050516647532,995328485.330895,"E64_Prim"
"68","E57aGHI","LM0211","3",0,0.114810562571775,2845324.93467714,"E64_Prim"
"69","E57aFNP","LM0211","4",0,2.1239954075775,201602912.294239,"E64_Prim"
"70","E57aOUW","LM0211","2",0,-1.95177956371986,4143914.63652948,"E64_Prim"
"71","E57aBKT","LM0211","0",0,0,0,"E64_Prim"
"72","E57aFPS","LM0211","8",119369.369369369,0.918484500574054,185651230.374242,"E64_Prim"
"73","E57aPVW","LM0211","5",328571.428571429,10.1607347876005,8583590837.31959,"E64_Prim"
"74","E57aFPY","LM0211","1",0,-1.60734787600458,0,"E64_Prim"
"75","E57aAPU","LM0211","9",26595.7446808511,-1.77956371986222,8571878.09409704,"E64_Prim"
"76","E57aDJU","LM0211","6",925000,18.1400688863376,3627951760.90382,"E64_Prim"
"77","E57aDKM","LM0211","10",11235.9550561798,-2.98507462686567,856529.942689716,"E64_Prim"
"78","E57aBOX","LM0212","9",20531.4009661836,4.03151065801667,1680960.73199565,"E64_Prim"
"79","E57aCNR","LM0212","8",55555.5555555556,6.48748841519925,27286298.1405022,"E64_Prim"
"80","E57aHTY","LM0212","2",0,2.17794253938832,88773.0591882231,"E64_Prim"
"81","E57aGHT","LM0212","1",0,0.139017608897116,0,"E64_Prim"
"82","E57aDIK","LM0212","10",7462.68656716418,4.1705282669138,180494.069654554,"E64_Prim"
"83","E57aHLO","LM0212","4",0,10.0092678405931,81625161.7368934,"E64_Prim"
"84","E57aDNY","LM0212","7",213333.333333333,8.8507877664504,324019215.471055,"E64_Prim"
"85","E57aABY","LM0212","6",2173529.41176471,13.4383688600556,1416434193.46071,"E64_Prim"
"86","E57aHJQ","LM0212","0",0,0,0,"E64_Prim"
"87","E57aNOP","LM0212","5",152173.913043478,11.4921223354958,4234697046.73449,"E64_Prim"
"88","E57aGKV","LM0212","3",0,2.40963855421687,305228.213080591,"E64_Prim"
"89","E57aDRT","LM0213","9",62500,-8.31708901884341,NA,"E64_Prim"
"90","E57aNST","LM0213","8",38265.306122449,-7.66731643924626,32000058.255432,"E64_Prim"
"91","E57aDMY","LM0213","7",770833.333333333,-0.259909031838851,494155064.093156,"E64_Prim"
"92","E57aDPZ","LM0213","5",184782.608695652,12.4756335282651,973904448.042412,"E64_Prim"
"93","E57aFHV","LM0213","0",0,0,0,"E64_Prim"
"94","E57aCGQ","LM0213","4",11627.9069767442,4.22352176738142,159876326.816896,"E64_Prim"
"95","E57aABM","LM0213","6",1428571.42857143,8.83690708252113,8454392854.63204,"E64_Prim"
"96","E57aORX","LM0213","1",0,0.389863547758288,0,"E64_Prim"
"97","E57aDJW","LM0213","3",0,-3.63872644574398,2092619.88076131,"E64_Prim"
"98","E57aCFO","LM0213","2",0,-1.23456790123456,0,"E64_Prim"
"99","E57aTUW","LM0213","10",0,-2.3391812865497,407402.453937079,"E64_Prim"
"100","E57aDLQ","LM0214","5",0,7.36419978126139,2404023088.78729,"E64_Prim"
"101","E57aKPT","LM0214","3",0,-3.1717098067809,590431.003273476,"E64_Prim"
"102","E57aEIJ","LM0214","10",4347.82608695652,-3.3175355450237,133566.582418239,"E64_Prim"
"103","E57aNXZ","LM0214","8",62874.251497006,2.0051039008385,7815932.60078845,"E64_Prim"
"104","E57aFLM","LM0214","1",0,1.45825738242799,NA,"E64_Prim"
"105","E57aDES","LM0214","0",0,0,0,"E64_Prim"
"106","E57aADQ","LM0214","2",0,0.437477214728403,30262.6305708758,"E64_Prim"
"107","E57aCEY","LM0214","9",94488.1889763779,-2.2602989427634,NA,"E64_Prim"
"108","E57aEUV","LM0214","7",456066.945606695,9.11410864017499,673214115.541685,"E64_Prim"
"109","E57aPRY","LM0214","4",0,3.2446226759023,207821157.53244,"E64_Prim"
"110","E57aOTZ","LM0214","6",1370689.65517241,11.2650382792563,2900012419.24017,"E64_Prim"
"111","E57aDGQ","LM0215","3",0,-1.63179916317992,3086306.0242377,"E64_Prim"
"112","E57aPRZ","LM0215","2",0,-1.12970711297072,288343.92825334,"E64_Prim"
"113","E57aKQY","LM0215","10",0,-4.81171548117156,168914.030757265,"E64_Prim"
"114","E57aKNW","LM0215","8",34539.4736842105,-3.84937238493725,6685303.02634714,"E64_Prim"
"115","E57aEQZ","LM0215","9",0,-5.64853556485356,124156.627775075,"E64_Prim"
"116","E57aELT","LM0215","0",0,0,0,"E64_Prim"
"117","E57aGMN","LM0215","1",0,-0.167364016736413,0,"E64_Prim"
"118","E57aGMX","LM0215","6",2151515.15151515,1.21338912133891,432353253.367679,"E64_Prim"
"119","E57aEWX","LM0215","4",17045.4545454545,3.93305439330543,137818758.334382,"E64_Prim"
"120","E57aCPS","LM0215","5",53571.4285714286,6.69456066945606,1240154868.6284,"E64_Prim"
"121","E57aENO","LM0215","7",234496.124031008,-6.35983263598328,60219711.7365798,"E64_Prim"
"122","E57aJOW","LM0216","7",140540.540540541,2.66739248775178,33998458.3741992,"E64_Prim"
"123","E57aJMW","LM0216","3",0,8.32879695155145,4502607.35065935,"E64_Prim"
"124","E57aBDV","LM0216","5",288461.538461538,18.0185084376701,6161896750.83584,"E64_Prim"
"125","E57aABJ","LM0216","2",0,10.2340772999456,312360.588484238,"E64_Prim"
"126","E57aALW","LM0216","8",0,7.24006532389767,10429997.0653074,"E64_Prim"
"127","E57aNVW","LM0216","9",10135.1351351351,3.91943385955363,0,"E64_Prim"
"128","E57aBFX","LM0216","6",1680555.55555556,7.89330430048993,879498885.201736,"E64_Prim"
"129","E57aAMT","LM0216","10",5376.34408602151,3.15732172019598,166070.739846017,"E64_Prim"
"130","E57aNSU","LM0216","0",0,0,0,"E64_Prim"
"131","E57aSVY","LM0216","1",0,6.80457267283615,0,"E64_Prim"
"132","E57aGIQ","LM0216","4",4761.90476190476,11.3228089275994,270288257.339498,"E64_Prim"
"133","E57aCDS","LM0217","3",0,1.86020293122885,4924403.91717183,"E64_Prim"
"134","E57aCEV","LM0217","2",0,1.40924464487035,0,"E64_Prim"
"135","E57aMXY","LM0217","4",5376.34408602151,5.46786922209695,1741689933.76741,"E64_Prim"
"136","E57aFKY","LM0217","0",0,0,0,"E64_Prim"
"137","E57aMQY","LM0217","5",557692.307692308,4.73506200676437,1287280898.88104,"E64_Prim"
"138","E57aOVW","LM0217","9",4934.21052631579,-6.08793686583992,0,"E64_Prim"
"139","E57aLPV","LM0217","8",7281.55339805825,-3.26944757609922,4807689.66057597,"E64_Prim"
"140","E57aOPW","LM0217","7",252100.840336134,-3.94588500563699,225551854.552779,"E64_Prim"
"141","E57aOTY","LM0217","1",0,1.12739571589628,0,"E64_Prim"
"142","E57aDFN","LM0217","6",1585877.86259542,1.91657271702367,567920058.905833,"E64_Prim"
"143","E57aHMZ","LM0217","10",0,-9.6392333709132,436813.508423458,"E64_Prim"
"144","E57aAEL","LM0218","8",44585.9872611465,-2.89783889980354,991443.747015646,"E64_Prim"
"145","E57aJLZ","LM0218","0",0,0,0,"E64_Prim"
"146","E57aINU","LM0218","6",207627.118644068,1.1787819253438,667991865.027136,"E64_Prim"
"147","E57aAJX","LM0218","9",0,-0.196463654223964,3221999.48407943,"E64_Prim"
"148","E57aEFV","LM0218","1",0,-0.392927308447946,0,"E64_Prim"
"149","E57aAKV","LM0218","7",214887.640449438,-2.30844793713162,318739639.404082,"E64_Prim"
"150","E57aMUW","LM0218","4",0,-1.17878192534382,64843863.045185,"E64_Prim"
"151","E57aAOQ","LM0218","2",0,-1.9155206286837,0,"E64_Prim"
"152","E57aCGX","LM0218","3",0,0.785854616895875,581849.522437726,"E64_Prim"
"153","E57aBOS","LM0218","5",197916.666666667,2.25933202357564,19575729.3422533,"E64_Prim"
"154","E57aGKS","LM0218","10",5859.375,-2.75049115913557,6671.53775648641,"E64_Prim"
"155","E57aABG","LM0219","3",0,-0.263157894736846,1133194.08596323,"E64_Prim"
"156","E57aOXY","LM0219","4",0,-2.57894736842104,119612779.579137,"E64_Prim"
"157","E57aDFV","LM0219","10",0,-2.10526315789473,704863.608061669,"E64_Prim"
"158","E57aEJL","LM0219","7",318597.56097561,-7.63157894736842,108471388.773664,"E64_Prim"
"159","E57aACQ","LM0219","2",0,-7.31578947368421,0,"E64_Prim"
"160","E57aALS","LM0219","1",0,-5.84210526315789,0,"E64_Prim"
"161","E57aCDZ","LM0219","9",0,-8.73684210526316,2221256.36319053,"E64_Prim"
"162","E57aCHN","LM0219","0",0,0,0,"E64_Prim"
"163","E57aCER","LM0219","5",14285.7142857143,-0.157894736842111,110590474.680648,"E64_Prim"
"164","E57aTUX","LM0219","8",14814.8148148148,-9,1524415.30192588,"E64_Prim"
"165","E57aCGL","LM0219","6",1675675.67567568,-5.84210526315789,1607874432.50471,"E64_Prim"
"166","E57aEPS","LM0220","2",0,-2.99188640973631,0,"E64_Prim"
"167","E57aCEJ","LM0220","9",6465.51724137931,0.304259634888432,614640.134172317,"E64_Prim"
"168","E57aBLW","LM0220","7",343137.254901961,3.14401622718051,289302632.492633,"E64_Prim"
"169","E57aBDM","LM0220","4",6097.56097560976,1.72413793103448,20530313.3235793,"E64_Prim"
"170","E57aDFL","LM0220","5",297297.297297297,7.75862068965516,2902544178.87056,"E64_Prim"
"171","E57aAKR","LM0220","6",2380165.2892562,2.63691683569979,1129428709.2462,"E64_Prim"
"172","E57aBQS","LM0220","10",13888.8888888889,0,0,"E64_Prim"
"173","E57aMRU","LM0220","8",39062.5,0.152129817444207,2964588.9382545,"E64_Prim"
"174","E57aAGO","LM0220","0",0,0,0,"E64_Prim"
"175","E57aDGN","LM0220","1",0,-1.36916835699797,0,"E64_Prim"
"176","E57aCIM","LM0220","3",0,3.65111561866125,586548.998137917,"E64_Prim"
"177","E57aBFN","LM0221","8",22413.7931034483,5.57526609224532,126896710.043971,"E64_Prim"
"178","E57aKNV","LM0221","10",0,5.11910795742525,550280.148968852,"E64_Prim"
"179","E57aHOZ","LM0221","6",230555.555555556,6.48758236188546,1889868053.5987,"E64_Prim"
"180","E57aGTU","LM0221","7",553846.153846154,4.15610745058287,224242176.111643,"E64_Prim"
"181","E57aQUX","LM0221","5",98958.3333333333,4.46021287379624,571967384.08426,"E64_Prim"
"182","E57aOTW","LM0221","1",0,0.760263558033462,0,"E64_Prim"
"183","E57aFQS","LM0221","0",0,0,0,"E64_Prim"
"184","E57aAQR","LM0221","3",0,2.88900152052712,2356293.62206945,"E64_Prim"
"185","E57aPQU","LM0221","4",0,-0.861632032437902,90368542.3384616,"E64_Prim"
"186","E57aLTV","LM0221","9",16826.9230769231,6.74100354789661,1063645.43252464,"E64_Prim"
"187","E57aDEI","LM0221","2",0,-1.46984287886467,108773.116627867,"E64_Prim"
"188","E57aHJN","LM0222","7",1238188.97637795,8.67027928303459,47355748.7899844,"E64_Prim"
"189","E57aCRW","LM0222","0",0,0,0,"E64_Prim"
"190","E57aAKQ","LM0222","6",264367.816091954,10.8795331388078,298181860.739964,"E64_Prim"
"191","E57aFVX","LM0222","8",110000,2.54272613588995,11133300.2529287,"E64_Prim"
"192","E57aFIU","LM0222","5",55555.5555555556,9.87911629845768,866745297.465552,"E64_Prim"
"193","E57aJMZ","LM0222","9",49632.3529411765,1.16715298040849,344186.204616462,"E64_Prim"
"194","E57aIJU","LM0222","4",5434.78260869565,6.83618174239265,14138.6418829744,"E64_Prim"
"195","E57aBIN","LM0222","3",0,6.29428928720299,0,"E64_Prim"
"196","E57aDGM","LM0222","2",0,0.666944560233431,0,"E64_Prim"
"197","E57aPQV","LM0222","1",0,0.541892455189658,0,"E64_Prim"
"198","E57aBQX","LM0222","10",0,0.500208420175062,73650.8349040854,"E64_Prim"
"199","E57aQVW","LM0223","9",0,-6.4158224794983,1597852.78985193,"E64_Prim"
"200","E57aRXY","LM0223","0",0,0,0,"E64_Prim"
"201","E57aKOQ","LM0223","1",0,-3.28027013989387,59207.8239229009,"E64_Prim"
"202","E57aBWY","LM0223","6",59829.0598290598,-4.0520984081042,2162158512.3407,"E64_Prim"
"203","E57aFGK","LM0223","4",9090.90909090909,-3.32850940665702,164023010.932811,"E64_Prim"
"204","E57aAIR","LM0223","5",53846.1538461538,-3.23203087313072,2877567218.53508,"E64_Prim"
"205","E57aAGM","LM0223","2",0,-5.0168837433671,0,"E64_Prim"
"206","E57aJLW","LM0223","7",109154.929577465,-5.64399421128798,284858144.895152,"E64_Prim"
"207","E57aAOU","LM0223","3",0,1.30246020260492,1048463.75960094,"E64_Prim"
"208","E57aALQ","LM0223","8",5263.15789473684,-2.4602026049204,585808.199026963,"E64_Prim"
"209","E57aUXY","LM0223","10",8064.51612903226,-7.47708634828751,0,"E64_Prim"
"210","E57aNOV","LM0224","8",13157.8947368421,-8.17282665278501,21787488.4871395,"E64_Prim"
"211","E57aIMR","LM0224","6",174418.604651163,5.8302967204581,1000756137.81011,"E64_Prim"
"212","E57aBNY","LM0224","10",4285.71428571429,-2.18636127017178,372197.42603864,"E64_Prim"
"213","E57aGTX","LM0224","4",12437.8109452736,1.61374284226966,43381.957847899,"E64_Prim"
"214","E57aFMY","LM0224","2",0,-3.69599167100469,85185.2306425709,"E64_Prim"
"215","E57aOPS","LM0224","7",85483.8709677419,-3.53982300884956,492280862.91471,"E64_Prim"
"216","E57aAMW","LM0224","9",6377.55102040816,-1.82196772514314,3837937.12775808,"E64_Prim"
"217","E57aKVZ","LM0224","0",0,0,0,"E64_Prim"
"218","E57aEGN","LM0224","3",0,6.45497136907861,336834.648191244,"E64_Prim"
"219","E57aEIL","LM0224","5",54487.1794871795,4.16449765747007,614704258.233595,"E64_Prim"
"220","E57aEMQ","LM0224","1",0,-3.90421655387819,0,"E64_Prim"
