EH_ID,experiment,primary_infection,challenge_infection,mouse_strain,labels,weight,weight_dpi0,relative_weight,feces_weight,dpi,infection,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution,OO4sq,OOC,infection_history,Eim_MC,delta,IFNy_CEWE,IFNy_MES,CXCR3,IRG6,IL.12,CASP1,CXCL9,CXCR3_bio,IDO1,IFNy,IL.10,IL.12A,IL1RN,IL.6,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PPIB,PRF1,RETNLB,SOCS1,TICAM1,TNF,IL.17A,GAPDH,IL.13,CASP1_N,CXCL9_N,CXCR3_N,IDO1_N,IFNy_N,IL.6_N,IL.10_N,IL.12A_N,IL.13_N,IL.17A_N,IL1RN_N,IRGM1_N,MPO_N,MUC2_N,MUC5AC_N,MYD88_N,NCR1_N,PRF1_N,RETNLB_N,SOCS1_N,TICAM1_N,TNF_N,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8,OPG_O,IFNy_FEC,Caecum,Treg_prop,IL17A_CD4,batch,max_dpi,max_OOC,max_WL,death,hybrid_status
LM0254,E57,E88,UNI,SCHUNT_PWD,E57bxBQR,22.48,22.32,100.716845878136,2.33,2,challenge,0,0,0,0,1,0,0,E88_UNI,FALSE,-8.48,23.1158022243411,NA,18.235,NA,NA,23.3806666939096,17.1206415556508,18.0074607566448,15.7312416753262,24.082058513484,18.7482598189973,18.5722581273239,15.108028650605,18.3891405454823,9.1934265754033,23.3862651891476,8.3945367220858,10.1961258714846,14.6098387874823,18.006151671936,9.60205890956414,22.7128391301112,6.93746296461353,10.0448081506957,15.0844635517316,17.0586846826115,29.0635523889964,NA,NA,-13.7786077843455,-7.51858264608666,-8.40540184708071,-6.12918276576206,-14.4799996039198,-8.78708163591821,-9.14620090943316,-8.97019921775981,NA,-19.4614934794323,-5.50596974104086,0.408632334160835,-13.7842062795835,1.20752218747833,-0.594066961920415,-5.00777987791816,-8.40409276237187,-13.1107802205471,2.6645959449506,-0.442749241131519,-5.48240464216746,-7.45662577304741,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,94.2652329749104,challenge,F1 hybrid
LM0228,E57,E88,E64,STRA_BUSNA,E57bxCWZ,24.85,21.23,117.051342439943,1.69,3,challenge,0,0,0,0,1,0,0,E88_E64,TRUE,-5.91,84.9852124920339,NA,-8.9125,-4.3925,-6.9325,24.2505366490958,14.530482230102,21.6207481925541,12.3478233849638,20.8594681487319,22.9225537556405,NA,20.1351025190113,25.3259995192603,10.0339860668154,26.6797167200264,9.72451627418767,14.5991346659189,18.0104430682271,22.8931215536978,13.660586988559,26.2638329243728,7.85713019697681,10.2924933621838,17.6609876294228,22.3628219700418,27.3172963737582,NA,NA,-10.5899496605369,-0.869895241543048,-7.96016120399515,1.31276360359515,-7.198881160173,-11.6654125307013,-9.26196676708155,NA,NA,-13.6567093851992,-6.4745155304524,3.6266009217436,-13.0191297314674,3.93607071437128,-0.938547677359949,-4.34985607966815,-9.23253456513885,-12.6032459358138,5.80345679158214,3.36809362637517,-4.00040064086385,-8.7022349814829,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,875000,100,challenge,F1 hybrid
LM0229,E57,E88,UNI,SCHUNT_SCHUNT,E57bxAIO,18.85,19.06,98.8982161594963,2.07,3,challenge,0,0,0,0,1,0,0,E88_UNI,FALSE,-7.12,11.9382981889895,NA,-7.4325,-3.1225,-4.6475,22.5551139808118,18.9909275849876,23.6653656848417,15.9024095300201,NA,24.9002494072624,27.7955876695484,18.1491629764574,24.180209060652,7.81060387080035,NA,7.74929330346136,12.8712104139678,20.0599381790986,23.9648641562199,14.4941092225394,NA,9.18435473973411,9.20500776700764,19.1173568160569,22.8121320789382,22.7615767953648,NA,NA,-8.06100475827245,-4.49681836244825,-9.1712564623023,-1.4083003074807,NA,-9.68609983811255,-10.406140184723,-13.301478447009,NA,-8.2674675728254,-3.655053753918,6.68350535173905,NA,6.74481591907804,1.6228988085716,-5.5658289565592,-9.4707549336805,NA,5.30975448280529,5.28910145553176,-4.62324759351755,-8.3180228563988,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,96.4323189926548,challenge,F0 M. m. domesticus
LM0238,E57,E88,E64,PWD_BUSNA,E57bxKUZ,21.42,21.39,100.140252454418,1.46,3,challenge,0,0,0,0,1,0,0,E88_E64,TRUE,-4.42,61.4115394386923,NA,-10.3425,-4.3375,-6.3925,23.5540725323124,12.888287470123,19.2169807477729,11.6635512311409,20.7110120479232,22.9486088610493,22.4657442876761,17.29026910536,19.6251861907229,9.05215962541348,27.4645057279806,8.64257116807127,10.3427143520517,14.618691018641,21.3996805565785,9.4143498510904,20.4514089182612,4.0796041966491,11.2421699325579,15.1265041801971,18.2183128631643,23.5008702072269,NA,NA,-14.139722681222,-3.47393761903265,-9.80263089668245,-2.24920138005045,-11.2966621968328,-10.2108363396325,-13.5342590099589,-13.0513944365857,NA,-14.0865203561365,-7.87591925426955,0.362190225676919,-18.0501558768902,0.771778683019129,-0.928364500961271,-5.20434116755065,-11.9853307054881,-11.0370590671708,5.3347456544413,-1.8278200814675,-5.7121543291067,-8.8039630120739,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,437500,93.9223936418887,challenge,F1 M. m. musculus
LM0240,E57,E88,E64,SCHUNT_PWD,E57bxEKX,21.24,20.45,103.863080684597,1.6,3,challenge,0,0,0,0,1,0,0,E88_E64,TRUE,-6.65,43.3808823861458,NA,-8.47,-2.455,-5.66,22.7009523014771,13.0180593774902,19.121773301477,10.7053612726095,19.0330455141537,20.6242156879116,21.8528046062565,17.3825399858799,25.263313794222,7.5653020929804,24.9143864033321,6.90494895448122,15.3598698839964,14.6123366138279,20.069570381716,8.93146449259218,21.0138444917727,3.59877768391926,8.89285280671148,14.3463193824944,18.1837642472505,24.0378078601409,NA,NA,-13.7694878088849,-4.08659488489807,-10.1903088088848,-1.77389678001732,-10.1015810215615,-16.3318493016298,-11.6927511953194,-12.9213401136643,NA,-15.1063433675487,-8.45107549328767,1.36616239961178,-15.9829219107399,2.02651553811097,-6.42840539140422,-5.68087212123577,-11.1381058891238,-12.0823799991805,5.33268680867293,0.0386116858807029,-5.41485488990222,-9.25229975465832,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,317500,100,challenge,F1 hybrid
LM0247,E57,E88,UNI,STRA_SCHUNT,E57bxBKM,26.04,27.13,95.9823074087726,2.77,3,challenge,0,0,0,0,1,0,0,E88_UNI,TRUE,-4.68,15.7742979705957,NA,-11.1375,-3.9525,-6.0825,22.4951825075151,17.3920892055468,22.4503171332931,15.6752492650797,NA,NA,24.0887717770285,17.7497175871724,22.6933471755817,9.84150808970637,25.1986199512889,7.87121880992098,8.67855142766924,16.2851357574055,24.3767044883014,10.0742618014015,25.1022376611852,11.6459650951572,10.6740336447483,15.6493987100139,20.9363782085568,25.6638427414561,NA,NA,-12.4209207061136,-7.3178274041453,-12.3760553318916,-5.60098746367825,NA,-12.6190853741802,NA,-14.014509975627,NA,-15.5895809400546,-7.67545578577095,0.232753711695125,-15.1243581498874,2.20304299148052,1.39571037373226,-6.210873956004,-14.3024426868999,-15.0279758597837,-1.5717032937557,-0.599771843346799,-5.57513690861245,-10.8621164071553,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12500,95.5768521931441,challenge,F1 M. m. domesticus
LM0254,E57,E88,UNI,SCHUNT_PWD,E57bxCHI,22.35,22.32,100.134408602151,2.15,3,challenge,0,0,0,0,1,0,0,E88_UNI,FALSE,-8.48,23.1158022243411,NA,18.235,NA,NA,23.3806666939096,17.1206415556508,18.0074607566448,15.7312416753262,24.082058513484,18.7482598189973,18.5722581273239,15.108028650605,18.3891405454823,9.1934265754033,23.3862651891476,8.3945367220858,10.1961258714846,14.6098387874823,18.006151671936,9.60205890956414,22.7128391301112,6.93746296461353,10.0448081506957,15.0844635517316,17.0586846826115,29.0635523889964,NA,NA,-13.7786077843455,-7.51858264608666,-8.40540184708071,-6.12918276576206,-14.4799996039198,-8.78708163591821,-9.14620090943316,-8.97019921775981,NA,-19.4614934794323,-5.50596974104086,0.408632334160835,-13.7842062795835,1.20752218747833,-0.594066961920415,-5.00777987791816,-8.40409276237187,-13.1107802205471,2.6645959449506,-0.442749241131519,-5.48240464216746,-7.45662577304741,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,94.2652329749104,challenge,F1 hybrid
LM0228,E57,E88,E64,STRA_BUSNA,E57bxBJR,24.01,21.23,113.094677343382,1.96,4,challenge,0,0,0,2,1,2,5000,E88_E64,TRUE,-5.91,84.9852124920339,NA,-8.9125,-4.3925,-6.9325,24.2505366490958,14.530482230102,21.6207481925541,12.3478233849638,20.8594681487319,22.9225537556405,NA,20.1351025190113,25.3259995192603,10.0339860668154,26.6797167200264,9.72451627418767,14.5991346659189,18.0104430682271,22.8931215536978,13.660586988559,26.2638329243728,7.85713019697681,10.2924933621838,17.6609876294228,22.3628219700418,27.3172963737582,NA,NA,-10.5899496605369,-0.869895241543048,-7.96016120399515,1.31276360359515,-7.198881160173,-11.6654125307013,-9.26196676708155,NA,NA,-13.6567093851992,-6.4745155304524,3.6266009217436,-13.0191297314674,3.93607071437128,-0.938547677359949,-4.34985607966815,-9.23253456513885,-12.6032459358138,5.80345679158214,3.36809362637517,-4.00040064086385,-8.7022349814829,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,875000,100,challenge,F1 hybrid
LM0229,E57,E88,UNI,SCHUNT_SCHUNT,E57bxLUV,18.78,19.06,98.5309548793284,2.35,4,challenge,0,0,0,0,1,0,0,E88_UNI,FALSE,-7.12,11.9382981889895,NA,-7.4325,-3.1225,-4.6475,22.5551139808118,18.9909275849876,23.6653656848417,15.9024095300201,NA,24.9002494072624,27.7955876695484,18.1491629764574,24.180209060652,7.81060387080035,NA,7.74929330346136,12.8712104139678,20.0599381790986,23.9648641562199,14.4941092225394,NA,9.18435473973411,9.20500776700764,19.1173568160569,22.8121320789382,22.7615767953648,NA,NA,-8.06100475827245,-4.49681836244825,-9.1712564623023,-1.4083003074807,NA,-9.68609983811255,-10.406140184723,-13.301478447009,NA,-8.2674675728254,-3.655053753918,6.68350535173905,NA,6.74481591907804,1.6228988085716,-5.5658289565592,-9.4707549336805,NA,5.30975448280529,5.28910145553176,-4.62324759351755,-8.3180228563988,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,96.4323189926548,challenge,F0 M. m. domesticus
LM0238,E57,E88,E64,PWD_BUSNA,E57bxINU,21.13,21.39,98.7844787283777,1.32,4,challenge,0,0,0,0,1,0,0,E88_E64,TRUE,-4.42,61.4115394386923,NA,-10.3425,-4.3375,-6.3925,23.5540725323124,12.888287470123,19.2169807477729,11.6635512311409,20.7110120479232,22.9486088610493,22.4657442876761,17.29026910536,19.6251861907229,9.05215962541348,27.4645057279806,8.64257116807127,10.3427143520517,14.618691018641,21.3996805565785,9.4143498510904,20.4514089182612,4.0796041966491,11.2421699325579,15.1265041801971,18.2183128631643,23.5008702072269,NA,NA,-14.139722681222,-3.47393761903265,-9.80263089668245,-2.24920138005045,-11.2966621968328,-10.2108363396325,-13.5342590099589,-13.0513944365857,NA,-14.0865203561365,-7.87591925426955,0.362190225676919,-18.0501558768902,0.771778683019129,-0.928364500961271,-5.20434116755065,-11.9853307054881,-11.0370590671708,5.3347456544413,-1.8278200814675,-5.7121543291067,-8.8039630120739,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,437500,93.9223936418887,challenge,F1 M. m. musculus
LM0240,E57,E88,E64,SCHUNT_PWD,E57bxKMQ,21.14,20.45,103.374083129584,2.41,4,challenge,0,0,0,0,1,0,0,E88_E64,TRUE,-6.65,43.3808823861458,NA,-8.47,-2.455,-5.66,22.7009523014771,13.0180593774902,19.121773301477,10.7053612726095,19.0330455141537,20.6242156879116,21.8528046062565,17.3825399858799,25.263313794222,7.5653020929804,24.9143864033321,6.90494895448122,15.3598698839964,14.6123366138279,20.069570381716,8.93146449259218,21.0138444917727,3.59877768391926,8.89285280671148,14.3463193824944,18.1837642472505,24.0378078601409,NA,NA,-13.7694878088849,-4.08659488489807,-10.1903088088848,-1.77389678001732,-10.1015810215615,-16.3318493016298,-11.6927511953194,-12.9213401136643,NA,-15.1063433675487,-8.45107549328767,1.36616239961178,-15.9829219107399,2.02651553811097,-6.42840539140422,-5.68087212123577,-11.1381058891238,-12.0823799991805,5.33268680867293,0.0386116858807029,-5.41485488990222,-9.25229975465832,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,317500,100,challenge,F1 hybrid
LM0247,E57,E88,UNI,STRA_SCHUNT,E57bxGOV,26.54,27.13,97.8252856616292,3.97,4,challenge,3,0,0,2,1,5,12500,E88_UNI,TRUE,-4.68,15.7742979705957,NA,-11.1375,-3.9525,-6.0825,22.4951825075151,17.3920892055468,22.4503171332931,15.6752492650797,NA,NA,24.0887717770285,17.7497175871724,22.6933471755817,9.84150808970637,25.1986199512889,7.87121880992098,8.67855142766924,16.2851357574055,24.3767044883014,10.0742618014015,25.1022376611852,11.6459650951572,10.6740336447483,15.6493987100139,20.9363782085568,25.6638427414561,NA,NA,-12.4209207061136,-7.3178274041453,-12.3760553318916,-5.60098746367825,NA,-12.6190853741802,NA,-14.014509975627,NA,-15.5895809400546,-7.67545578577095,0.232753711695125,-15.1243581498874,2.20304299148052,1.39571037373226,-6.210873956004,-14.3024426868999,-15.0279758597837,-1.5717032937557,-0.599771843346799,-5.57513690861245,-10.8621164071553,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12500,95.5768521931441,challenge,F1 M. m. domesticus
LM0254,E57,E88,UNI,SCHUNT_PWD,E57bxDMP,22.36,22.32,100.179211469534,3.93,4,challenge,0,0,0,0,1,0,0,E88_UNI,FALSE,-8.48,23.1158022243411,NA,18.235,NA,NA,23.3806666939096,17.1206415556508,18.0074607566448,15.7312416753262,24.082058513484,18.7482598189973,18.5722581273239,15.108028650605,18.3891405454823,9.1934265754033,23.3862651891476,8.3945367220858,10.1961258714846,14.6098387874823,18.006151671936,9.60205890956414,22.7128391301112,6.93746296461353,10.0448081506957,15.0844635517316,17.0586846826115,29.0635523889964,NA,NA,-13.7786077843455,-7.51858264608666,-8.40540184708071,-6.12918276576206,-14.4799996039198,-8.78708163591821,-9.14620090943316,-8.97019921775981,NA,-19.4614934794323,-5.50596974104086,0.408632334160835,-13.7842062795835,1.20752218747833,-0.594066961920415,-5.00777987791816,-8.40409276237187,-13.1107802205471,2.6645959449506,-0.442749241131519,-5.48240464216746,-7.45662577304741,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,94.2652329749104,challenge,F1 hybrid
LM0228,E57,E88,E64,STRA_BUSNA,E57bxESW,23.47,21.23,110.551106924164,1.32,5,challenge,55,51,48,44,1,198,495000,E88_E64,TRUE,-5.91,84.9852124920339,NA,-8.9125,-4.3925,-6.9325,24.2505366490958,14.530482230102,21.6207481925541,12.3478233849638,20.8594681487319,22.9225537556405,NA,20.1351025190113,25.3259995192603,10.0339860668154,26.6797167200264,9.72451627418767,14.5991346659189,18.0104430682271,22.8931215536978,13.660586988559,26.2638329243728,7.85713019697681,10.2924933621838,17.6609876294228,22.3628219700418,27.3172963737582,NA,NA,-10.5899496605369,-0.869895241543048,-7.96016120399515,1.31276360359515,-7.198881160173,-11.6654125307013,-9.26196676708155,NA,NA,-13.6567093851992,-6.4745155304524,3.6266009217436,-13.0191297314674,3.93607071437128,-0.938547677359949,-4.34985607966815,-9.23253456513885,-12.6032459358138,5.80345679158214,3.36809362637517,-4.00040064086385,-8.7022349814829,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,875000,100,challenge,F1 hybrid
LM0229,E57,E88,UNI,SCHUNT_SCHUNT,E57bxCNT,19.88,19.06,104.302203567681,3.34,5,challenge,0,0,0,0,1,0,0,E88_UNI,FALSE,-7.12,11.9382981889895,NA,-7.4325,-3.1225,-4.6475,22.5551139808118,18.9909275849876,23.6653656848417,15.9024095300201,NA,24.9002494072624,27.7955876695484,18.1491629764574,24.180209060652,7.81060387080035,NA,7.74929330346136,12.8712104139678,20.0599381790986,23.9648641562199,14.4941092225394,NA,9.18435473973411,9.20500776700764,19.1173568160569,22.8121320789382,22.7615767953648,NA,NA,-8.06100475827245,-4.49681836244825,-9.1712564623023,-1.4083003074807,NA,-9.68609983811255,-10.406140184723,-13.301478447009,NA,-8.2674675728254,-3.655053753918,6.68350535173905,NA,6.74481591907804,1.6228988085716,-5.5658289565592,-9.4707549336805,NA,5.30975448280529,5.28910145553176,-4.62324759351755,-8.3180228563988,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,96.4323189926548,challenge,F0 M. m. domesticus
LM0238,E57,E88,E64,PWD_BUSNA,E57bxKST,20.84,21.39,97.4287050023375,0.82,5,challenge,49,36,45,45,1,175,437500,E88_E64,TRUE,-4.42,61.4115394386923,NA,-10.3425,-4.3375,-6.3925,23.5540725323124,12.888287470123,19.2169807477729,11.6635512311409,20.7110120479232,22.9486088610493,22.4657442876761,17.29026910536,19.6251861907229,9.05215962541348,27.4645057279806,8.64257116807127,10.3427143520517,14.618691018641,21.3996805565785,9.4143498510904,20.4514089182612,4.0796041966491,11.2421699325579,15.1265041801971,18.2183128631643,23.5008702072269,NA,NA,-14.139722681222,-3.47393761903265,-9.80263089668245,-2.24920138005045,-11.2966621968328,-10.2108363396325,-13.5342590099589,-13.0513944365857,NA,-14.0865203561365,-7.87591925426955,0.362190225676919,-18.0501558768902,0.771778683019129,-0.928364500961271,-5.20434116755065,-11.9853307054881,-11.0370590671708,5.3347456544413,-1.8278200814675,-5.7121543291067,-8.8039630120739,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,437500,93.9223936418887,challenge,F1 M. m. musculus
LM0240,E57,E88,E64,SCHUNT_PWD,E57bxMQW,21.48,20.45,105.036674816626,1.53,5,challenge,4,6,10,5,1,25,62500,E88_E64,TRUE,-6.65,43.3808823861458,NA,-8.47,-2.455,-5.66,22.7009523014771,13.0180593774902,19.121773301477,10.7053612726095,19.0330455141537,20.6242156879116,21.8528046062565,17.3825399858799,25.263313794222,7.5653020929804,24.9143864033321,6.90494895448122,15.3598698839964,14.6123366138279,20.069570381716,8.93146449259218,21.0138444917727,3.59877768391926,8.89285280671148,14.3463193824944,18.1837642472505,24.0378078601409,NA,NA,-13.7694878088849,-4.08659488489807,-10.1903088088848,-1.77389678001732,-10.1015810215615,-16.3318493016298,-11.6927511953194,-12.9213401136643,NA,-15.1063433675487,-8.45107549328767,1.36616239961178,-15.9829219107399,2.02651553811097,-6.42840539140422,-5.68087212123577,-11.1381058891238,-12.0823799991805,5.33268680867293,0.0386116858807029,-5.41485488990222,-9.25229975465832,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,317500,100,challenge,F1 hybrid
LM0247,E57,E88,UNI,STRA_SCHUNT,E57bxCGT,26.78,27.13,98.7099152230004,2.86,5,challenge,0,0,0,0,1,0,0,E88_UNI,TRUE,-4.68,15.7742979705957,NA,-11.1375,-3.9525,-6.0825,22.4951825075151,17.3920892055468,22.4503171332931,15.6752492650797,NA,NA,24.0887717770285,17.7497175871724,22.6933471755817,9.84150808970637,25.1986199512889,7.87121880992098,8.67855142766924,16.2851357574055,24.3767044883014,10.0742618014015,25.1022376611852,11.6459650951572,10.6740336447483,15.6493987100139,20.9363782085568,25.6638427414561,NA,NA,-12.4209207061136,-7.3178274041453,-12.3760553318916,-5.60098746367825,NA,-12.6190853741802,NA,-14.014509975627,NA,-15.5895809400546,-7.67545578577095,0.232753711695125,-15.1243581498874,2.20304299148052,1.39571037373226,-6.210873956004,-14.3024426868999,-15.0279758597837,-1.5717032937557,-0.599771843346799,-5.57513690861245,-10.8621164071553,mLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12500,95.5768521931441,challenge,F1 M. m. domesticus
